epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,366.335,0.90993,2.68297,1.27799,0.00519,0.91705,0.26914,0.17907,0.84889,3.27118,1.22777,0.00044299,0.00044299,0.00044299
2,690.191,1.0014,1.99696,1.34817,0.4458,0.25293,0.30741,0.17893,1.11835,2.7466,1.57582,0.000855707,0.000855707,0.000855707
3,1006.6,1.03828,1.72524,1.37012,0.4747,0.53962,0.49825,0.312,1.17808,2.33605,1.57381,0.00122315,0.00122315,0.00122315
4,1327.73,1.00492,1.65409,1.36583,0.3038,0.58196,0.28184,0.17072,1.14201,3.12476,1.61322,0.00121679,0.00121679,0.00121679
5,1645.1,1.00159,1.51571,1.33071,0.51981,0.58659,0.54417,0.35805,1.1588,2.57917,1.62003,0.00114606,0.00114606,0.00114606
6,1961.28,1.00001,1.49287,1.31346,0.42488,0.59592,0.50769,0.32092,1.3757,2.27296,1.67136,0.00107532,0.00107532,0.00107532
7,2282.42,0.96264,1.41864,1.31427,0.55338,0.66982,0.64699,0.45587,0.94342,1.6485,1.28002,0.00100459,0.00100459,0.00100459
8,2601.94,0.92113,1.32859,1.28949,0.68463,0.7541,0.76265,0.55334,0.88121,1.51808,1.22066,0.000933851,0.000933851,0.000933851
9,2914.7,0.90587,1.27425,1.28287,0.67833,0.72857,0.74348,0.54306,0.91489,1.51547,1.23152,0.000863116,0.000863116,0.000863116
10,3226.57,0.9089,1.24012,1.25773,0.60975,0.69525,0.7133,0.5214,0.87005,1.64028,1.20174,0.00079238,0.00079238,0.00079238
11,3544.9,0.8826,1.54172,1.31548,0.77087,0.72705,0.81357,0.59917,0.87549,1.45429,1.21444,0.000721645,0.000721645,0.000721645
12,3855.24,0.82126,1.33551,1.25989,0.81678,0.82123,0.87735,0.66956,0.8398,1.19271,1.19263,0.000650909,0.000650909,0.000650909
13,4163.19,0.81063,1.31577,1.25037,0.79706,0.8056,0.87096,0.67967,0.82093,1.14883,1.14907,0.000580174,0.000580174,0.000580174
14,4471.58,0.78995,1.20985,1.21974,0.7829,0.81099,0.87661,0.67237,0.82568,1.17138,1.17083,0.000509438,0.000509438,0.000509438
15,4778.07,0.78166,1.13013,1.22638,0.82879,0.868,0.91295,0.72014,0.73292,0.9997,1.0603,0.000438703,0.000438703,0.000438703
16,5084.25,0.77363,1.09817,1.19886,0.8613,0.8859,0.93025,0.74012,0.73761,0.96599,1.0572,0.000367967,0.000367967,0.000367967
17,6770.68,0.72937,0.99655,1.17492,0.84602,0.87032,0.92308,0.75426,0.67669,0.92676,1.00942,0.000297232,0.000297232,0.000297232
18,7082.26,0.70462,0.94645,1.14191,0.88837,0.90196,0.94628,0.77178,0.67815,0.81665,1.00579,0.000226497,0.000226497,0.000226497
19,7416.79,0.68776,0.90234,1.1345,0.88596,0.91403,0.95392,0.7932,0.63964,0.77669,0.96819,0.000155761,0.000155761,0.000155761
20,7729.61,0.65393,0.87585,1.10761,0.90573,0.88771,0.95798,0.79834,0.62957,0.74582,0.96092,8.50255e-05,8.50255e-05,8.50255e-05
